date,period,year,quarter,series,region,property_type,pct_1m,pct_12m,pct_3m,index
2006-10-01,2006-10,2006,2006Q4,Dublin - houses,Dublin,Houses,1.0,20.7,3.8,154.2
2006-10-01,2006-10,2006,2006Q4,National - all residential properties,National,All residential,0.6,15.4,3.7,159.4
2006-10-01,2006-10,2006,2006Q4,National - apartments,National,Apartments,0.8,15.8,4.4,186.9
2006-10-01,2006-10,2006,2006Q4,National - houses,National,Houses,0.7,15.7,3.6,155.1
2006-10-01,2006-10,2006,2006Q4,National excluding Dublin - all residential properties,National excluding Dublin,All residential,0.6,13.3,3.7,176.0
2006-10-01,2006-10,2006,2006Q4,National excluding Dublin - apartments,National excluding Dublin,Apartments,1.7,13.9,4.6,233.5
2006-10-01,2006-10,2006,2006Q4,National excluding Dublin - houses,National excluding Dublin,Houses,0.5,13.3,3.6,172.8
2006-11-01,2006-11,2006,2006Q4,Dublin - all residential properties,Dublin,All residential,-0.4,17.2,0.5,158.7
2006-11-01,2006-11,2006,2006Q4,Dublin - apartments,Dublin,Apartments,0.5,14.3,2.1,180.4
2006-11-01,2006-11,2006,2006Q4,Dublin - houses,Dublin,Houses,-0.5,18.5,0.3,153.4
2006-11-01,2006-11,2006,2006Q4,National - all residential properties,National,All residential,0.0,14.4,1.5,159.4
2006-11-01,2006-11,2006,2006Q4,National - apartments,National,Apartments,0.5,14.9,2.9,187.8
2006-11-01,2006-11,2006,2006Q4,National - houses,National,Houses,0.0,14.7,1.4,155.2
2006-11-01,2006-11,2006,2006Q4,National excluding Dublin - all residential properties,National excluding Dublin,All residential,0.2,12.8,2.1,176.3
2006-11-01,2006-11,2006,2006Q4,National excluding Dublin - apartments,National excluding Dublin,Apartments,-0.4,11.9,3.0,232.5
2006-11-01,2006-11,2006,2006Q4,National excluding Dublin - houses,National excluding Dublin,Houses,0.3,12.9,2.0,173.3
2006-12-01,2006-12,2006,2006Q4,Dublin - all residential properties,Dublin,All residential,0.1,16.7,0.4,158.9
2006-12-01,2006-12,2006,2006Q4,Dublin - apartments,Dublin,Apartments,0.5,13.3,0.9,181.3
2006-12-01,2006-12,2006,2006Q4,Dublin - houses,Dublin,Houses,0.0,18.1,0.5,153.4
2006-12-01,2006-12,2006,2006Q4,National - all residential properties,National,All residential,0.8,14.2,1.4,160.6
2006-12-01,2006-12,2006,2006Q4,National - apartments,National,Apartments,0.6,13.6,1.9,189.0
2006-12-01,2006-12,2006,2006Q4,National - houses,National,Houses,0.8,14.6,1.6,156.5
