date,period,series,region,property_type,index,pct_1m,pct_3m,pct_12m
2006-11-01,2006-11,Dublin - all residential properties,Dublin,All residential,158.7,-0.4,0.5,17.2
2006-11-01,2006-11,Dublin - apartments,Dublin,Apartments,180.4,0.5,2.1,14.3
2006-11-01,2006-11,Dublin - houses,Dublin,Houses,153.4,-0.5,0.3,18.5
2006-11-01,2006-11,National - all residential properties,National,All residential,159.4,0.0,1.5,14.4
2006-11-01,2006-11,National - apartments,National,Apartments,187.8,0.5,2.9,14.9
2006-11-01,2006-11,National - houses,National,Houses,155.2,0.0,1.4,14.7
2006-11-01,2006-11,National excluding Dublin - all residential properties,National excluding Dublin,All residential,176.3,0.2,2.1,12.8
2006-11-01,2006-11,National excluding Dublin - apartments,National excluding Dublin,Apartments,232.5,-0.4,3.0,11.9
2006-11-01,2006-11,National excluding Dublin - houses,National excluding Dublin,Houses,173.3,0.3,2.0,12.9
2006-12-01,2006-12,Dublin - all residential properties,Dublin,All residential,158.9,0.1,0.4,16.7
2006-12-01,2006-12,Dublin - apartments,Dublin,Apartments,181.3,0.5,0.9,13.3
2006-12-01,2006-12,Dublin - houses,Dublin,Houses,153.4,0.0,0.5,18.1
2006-12-01,2006-12,National - all residential properties,National,All residential,160.6,0.8,1.4,14.2
2006-12-01,2006-12,National - apartments,National,Apartments,189.0,0.6,1.9,13.6
2006-12-01,2006-12,National - houses,National,Houses,156.5,0.8,1.6,14.6
2006-12-01,2006-12,National excluding Dublin - all residential properties,National excluding Dublin,All residential,178.4,1.2,2.0,12.7
2006-12-01,2006-12,National excluding Dublin - apartments,National excluding Dublin,Apartments,233.1,0.3,1.5,9.4
2006-12-01,2006-12,National excluding Dublin - houses,National excluding Dublin,Houses,175.4,1.2,2.1,13.0
2007-01-01,2007-01,Dublin - all residential properties,Dublin,All residential,159.2,0.2,-0.1,16.4
2007-01-01,2007-01,Dublin - apartments,Dublin,Apartments,183.4,1.1,2.1,14.7
2007-01-01,2007-01,Dublin - houses,Dublin,Houses,153.0,-0.3,-0.8,16.8
2007-01-01,2007-01,National - all residential properties,National,All residential,162.0,0.9,1.6,14.6
2007-01-01,2007-01,National - apartments,National,Apartments,190.9,1.0,2.2,13.8
2007-01-01,2007-01,National - houses,National,Houses,157.7,0.8,1.6,14.9
2007-01-01,2007-01,National excluding Dublin - all residential properties,National excluding Dublin,All residential,180.6,1.3,2.6,13.6
2007-01-01,2007-01,National excluding Dublin - apartments,National excluding Dublin,Apartments,235.6,1.1,0.9,8.9
2007-01-01,2007-01,National excluding Dublin - houses,National excluding Dublin,Houses,177.6,1.3,2.8,13.9
2007-02-01,2007-02,Dublin - all residential properties,Dublin,All residential,160.0,0.5,0.8,16.0
2007-02-01,2007-02,Dublin - apartments,Dublin,Apartments,185.1,0.9,2.6,15.2
2007-02-01,2007-02,Dublin - houses,Dublin,Houses,153.4,0.3,0.0,16.0
2007-02-01,2007-02,National - all residential properties,National,All residential,162.7,0.5,2.1,14.8
2007-02-01,2007-02,National - apartments,National,Apartments,192.3,0.7,2.4,13.8
